Compartment,MP_form,SizeFrac,advection,biofilm,breakup,burial,defouling,degradation,fragmentation,heteroagg,mixing,resusp,rising,sedTransport,settling
Stagnant Water,Pristine,1 um,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-11,4.140236421405342e-05,1e-12,0.0,2.5117779598525186e-08,0.0,0.0
Stagnant Water,Pristine,10 um,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-10,0.000556,1e-12,0.0,2.5117779598525184e-06,0.0,0.0
Stagnant Water,Pristine,100 um,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-09,0.000556,1e-12,0.0,0.00025117779598525183,0.0,0.0
Stagnant Water,Pristine,1000 um,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-08,0.000556,1e-12,0.0,0.000556,0.0,0.0
Surface Water,Biof&Heteroagg,0.1 um,2.6000000000000002e-05,1.1574074074074074e-06,9.112375494443875e-06,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-09,0.0,0.0,0.0,0.00022212295130920708
Surface Water,Biof&Heteroagg,1 um,2.6000000000000002e-05,1.1574074074074074e-06,8.280472842810684e-06,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-09,0.0,0.0,0.0,0.00026325006552658365
Surface Water,Biof&Heteroagg,10 um,2.6000000000000002e-05,1.1574074074074074e-06,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-09,0.0,0.0,0.0,0.000556
Surface Water,Biof&Heteroagg,100 um,2.6000000000000002e-05,1.1574074074074074e-06,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-09,0.0,0.0,0.0,0.000556
Surface Water,Biof&Heteroagg,1000 um,2.6000000000000002e-05,1.1574074074074074e-06,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-09,0.0,0.0,0.0,0.0
Surface Water,Biofouled,0.1 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,3.2090147248145615e-10,1.601344495180112e-09,9.112375494443874e-05,1e-09,0.0,0.0,0.0,0.00022206271491354384
Surface Water,Biofouled,1 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,3.2090147248145615e-10,1.7440385591070526e-09,8.280472842810684e-05,1e-09,0.0,0.0,0.0,0.00026319475066105547
Surface Water,Biofouled,10 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,3.2090147248145615e-10,3.1709791983764586e-09,0.000556,1e-09,0.0,0.0,0.0,0.000556
Surface Water,Biofouled,100 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,3.2090147248145615e-10,1.7440385591070522e-08,0.000556,1e-09,0.0,0.0,0.0,0.000556
Surface Water,Biofouled,1000 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,3.2090147248145615e-10,1.6013444951801116e-07,0.000556,1e-09,0.0,0.0,0.0,0.0
Surface Water,Heteroaggregate,0.1 um,2.6000000000000002e-05,1.1574074074074074e-06,4.556187747221937e-06,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-09,0.0,0.0,0.0,1.3943138231729607e-06
Surface Water,Heteroaggregate,1 um,2.6000000000000002e-05,1.1574074074074074e-06,4.140236421405342e-06,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-09,0.0,0.0,0.0,5.755925863473383e-07
Surface Water,Heteroaggregate,10 um,2.6000000000000002e-05,1.1574074074074074e-06,0.00047856632842167065,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-09,0.0,0.0,0.0,0.0
Surface Water,Heteroaggregate,100 um,2.6000000000000002e-05,1.1574074074074074e-06,5.5599999999999996e-05,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-09,0.0,0.0,0.0,0.0
Surface Water,Heteroaggregate,1000 um,2.6000000000000002e-05,1.1574074074074074e-06,5.5599999999999996e-05,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-09,0.0,0.0,0.0,0.0
Surface Water,Pristine,0.1 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-11,4.556187747221937e-05,1e-09,0.0,0.0,0.0,0.0
Surface Water,Pristine,1 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-10,4.140236421405342e-05,1e-09,0.0,0.0,0.0,0.0
Surface Water,Pristine,10 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-09,0.000556,1e-09,0.0,0.0,0.0,0.0
Surface Water,Pristine,100 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-08,0.000556,1e-09,0.0,0.0,0.0,0.0
Surface Water,Pristine,1000 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-07,0.000556,1e-09,0.0,0.0,0.0,0.0
